,0
101,0.0022600000000001508
102,0.0019500000000001183
103,0.0023000000000001908
104,0.0013100000000001444
105,0.000700000000000145
106,0.0020000000000000018
107,0.0020300000000001983
108,0.0015800000000001369
109,0.0017200000000001658
110,0.0015900000000002024
111,0.0010900000000000354
112,0.0023800000000000487
113,0.0023700000000002053
114,0.0015100000000001224
115,0.0014000000000000679
116,0.0006200000000000649
117,0.0013500000000001844
118,0.0015000000000000568
119,0.0010500000000002174
120,0.0008500000000000174
121,0.0015600000000000058
122,0.00291000000000019
123,0.0017000000000000348
124,0.002100000000000213
125,0.0012600000000000389
126,0.0006300000000001305
127,0.0028000000000001357
128,0.0015000000000000568
129,0.0045000000000001705
130,0.001140000000000141
131,0.0010700000000001264
132,0.0007600000000000939
133,0.0021900000000001363
134,0.0021900000000001363
135,0.0014800000000001479
136,0.0005800000000000249
137,0.0013000000000000789
138,0.0019899999999999363
139,0.0016599999999999948
140,0.0020700000000000163
141,0.00132000000000021
142,0.0008100000000001994
143,0.0023600000000001398
144,0.0024000000000001798
145,0.003090000000000037
146,0.0016499999999999293
147,0.0037599999999999856
148,0.0015000000000000568
149,0.0009099999999999664
150,0.0010200000000000209
151,0.0010300000000000864
152,0.0009900000000000464
153,0.0008799999999999919
154,0.0016400000000000858
155,0.0007999999999999119
156,0.0024200000000000887
157,0.0016500000000001513
158,0.0010300000000000864
159,0.0015500000000001624
160,0.001180000000000181
161,0.0012500000000001954
162,0.0020899999999999253
163,0.0019599999999999618
164,0.0023299999999999432
165,0.0008999999999999009
166,0.0017700000000000493
167,0.0010099999999999554
168,0.0013499999999999623
169,0.0004999999999999449
170,0.0027000000000001467
171,0.0020599999999999508
172,0.002060000000000173
173,0.003310000000000146
174,0.0010500000000002174
175,0.0019000000000000128
176,0.0025100000000000122
177,0.00279000000000007
178,0.001140000000000141
179,0.0028600000000000847
180,0.0025100000000000122
181,0.003589999999999982
182,0.0032000000000000917
183,0.0029800000000002047
184,0.0019900000000001583
185,0.0024600000000001288
186,0.0019400000000000528
187,0.0026200000000000667
188,0.001040000000000152
189,0.00132000000000021
190,0.0017000000000000348
191,0.0020100000000000673
192,0.0023900000000001143
193,0.0024900000000001032
194,0.0015000000000000568
195,0.0019200000000001438
196,0.0010900000000000354
197,0.0007700000000001594
198,0.003050000000000219
199,0.003290000000000015
200,0.0028999999999999027
201,0.0013199999999999878
202,0.0023200000000000998
203,0.0021899999999999142
204,0.003309999999999924
205,0.0021800000000000708
206,0.006340000000000012
207,0.0016000000000000458
208,0.0048799999999999955
209,0.0044399999999999995
210,0.0024200000000000887
211,0.00550000000000006
212,0.0004999999999999449
213,0.0036199999999999566
214,0.0012799999999999478
215,0.0019400000000000528
216,0.0025100000000000122
217,0.0024900000000001032
218,0.0023999999999999577
219,0.003090000000000037
220,0.003250000000000197
221,0.0026700000000001722
222,0.002650000000000041
223,0.0025300000000001432
224,0.0023400000000000087
225,0.00550000000000006
226,0.003370000000000095
227,0.0028399999999999537
228,0.003730000000000011
229,0.00550000000000006
230,0.0004999999999999449
231,0.0015099999999999003
232,0.0044999999999999485
233,0.0012600000000000389
234,0.0016199999999999548
235,0.0009900000000000464
236,0.0021500000000000963
237,0.0016099999999998893
238,0.0021599999999999397
239,0.0017399999999998528
240,0.0020399999999998197
241,0.0014499999999999513
242,0.0020199999999999108
243,0.0016499999999999293
244,0.0015700000000000713
245,0.0022299999999999542
246,0.002389999999999892
247,0.0011799999999999589
248,0.0022599999999999287
249,0.0023199999999998777
250,0.002829999999999888
251,0.0021799999999998487
252,0.002569999999999961
253,0.0014999999999998348
254,0.0022699999999999942
255,0.00254999999999983
256,0.0024199999999998667
257,0.0022399999999997977
258,0.0024799999999998157
259,0.0018799999999998818
260,0.0019499999999998963
261,0.0014099999999999113
262,0.002909999999999968
263,0.0014999999999998348
264,0.004349999999999854
265,0.0013999999999998458
266,0.00266999999999995
267,0.002729999999999899
268,0.0018099999999998673
269,0.003149999999999986
270,0.0028999999999999027
271,0.0017199999999999438
272,0.0007599999999998719
273,0.0024599999999999067
274,0.0012599999999998168
275,0.0025399999999999867
276,0.003270000000000106
277,0.003409999999999913
278,0.0021899999999999142
279,0.0017999999999998018
280,0.0009199999999998099
281,0.0011499999999999844
282,0.0026399999999999757
283,0.0004899999999998794
284,0.0011200000000000099
285,0.0024399999999999977
286,0.0020899999999999253
287,0.004070000000000018
